rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough,photo_url
1545,2550,0.0,1,480,9,2.0,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan,/photos/entrance/655.jpg
2472,11500,2.0,2,2000,4,1.0,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan,/photos/buildings/8367570363053441051.jpg
2919,4500,1.0,1,916,2,51.0,29,0,1,0,1,1,1,0,0,Midtown,Manhattan,/photos/buildings/4036488376013721770.jpg
2790,4795,1.0,1,975,3,8.0,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan,/photos/interior/4974837636310987780.jpg
3946,17500,2.0,2,4800,3,4.0,136,0,0,0,1,1,1,0,1,Soho,Manhattan,/photos/buildings/6823162660915126360.jpg
10817,3800,3.0,2,1100,3,5.0,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan,/photos/entrance/593.jpg
9077,1995,0.0,0,600,6,1.0,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan,/photos/entrance/1246.jpg
5150,2995,0.0,1,579,6,21.0,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan,/photos/flat_plans/8695085778612959038.jpg
9507,15000,2.0,2,1715,0,30.0,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan,/photos/entrance/670.jpg
1437,4650,1.0,1,915,5,5.0,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan,/photos/flat_plans/6798646933289159378.jpg
404,2950,1.0,1,550,43,17.0,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan,/photos/interior/7877866432114663290.jpg
8293,6920,3.0,2,1439,7,9.0,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan,/photos/interior/5366013730334362552.jpg
6594,4875,1.0,1,900,1,14.0,52,1,0,1,1,1,1,0,1,East Village,Manhattan,/photos/interior/8493441046595005783.jpg
2964,4850,1.0,1,789,2,40.0,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan,/photos/interior/8048109014274017849.jpg
5405,3700,1.0,1,947,5,5.0,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan,/photos/buildings/438707584094587863.jpg
5635,4200,2.0,1,900,4,8.0,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/buildings/8802805807698085797.jpg
5832,2195,1.0,1,500,3,3.0,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan,/photos/interior/9032461473781590176.jpg
7050,4200,1.0,1,640,3,15.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan,/photos/entrance/355.jpg
476,9000,2.0,2,1749,4,15.0,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan,/photos/interior/4044012744919606122.jpg
3491,4950,1.0,1,870,2,9.0,11,0,1,1,0,0,1,0,0,Midtown,Manhattan,/photos/entrance/658.jpg
2172,3000,0.5,1,573,11,8.0,31,0,0,0,0,1,0,0,0,Upper East Side,Manhattan,/photos/entrance/557.jpg
2443,2450,1.0,1,700,3,2.0,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan,/photos/interior/3613198239693138157.jpg
11328,1950,0.0,1,400,6,3.0,56,0,1,1,0,0,1,0,0,Gramercy Park,Manhattan,/photos/flat_plans/1140885263429694705.jpg
6142,3375,1.0,1,652,3,12.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/flat_plans/2326669593170818789.jpg
6216,2395,2.5,1,1000,3,1.0,106,0,0,0,0,0,0,0,0,East Harlem,Manhattan,/photos/interior/9200238964085879397.jpg
9535,4990,1.0,1,823,5,22.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan,/photos/buildings/2583409760153294124.jpg
4678,7495,2.0,2,1431,3,4.0,10,0,1,1,1,1,1,0,1,Upper West Side,Manhattan,/photos/flat_plans/2995248901224314430.jpg
5169,10000,1.0,2,1600,2,3.0,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan,/photos/flat_plans/2067430231911854401.jpg
5230,3090,2.0,1,800,10,3.0,106,0,0,0,0,0,0,0,0,East Village,Manhattan,/photos/flat_plans/4155961016322429901.jpg
1710,10904,3.0,3,1307,6,26.0,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/flat_plans/4496320892908300735.jpg
11111,2100,0.0,1,410,8,3.0,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan,/photos/interior/3161181826283383470.jpg
10393,2499,0.0,1,400,2,3.0,116,1,1,1,1,1,0,0,1,Upper West Side,Manhattan,/photos/windows/1050.jpg
9177,3650,2.0,1,763,10,30.0,27,0,0,0,1,1,0,0,1,Midtown East,Manhattan,/photos/entrance/1004.jpg
9536,3800,2.0,1,900,4,6.0,116,0,0,0,0,0,0,0,0,Lower East Side,Manhattan,/photos/buildings/4544597828853252910.jpg
133,9800,2.0,2,1270,7,7.0,6,0,1,1,1,1,0,0,0,Gramercy Park,Manhattan,/photos/windows/32.jpg
4687,4350,1.0,1,783,2,6.0,29,0,1,0,1,1,0,0,0,West Village,Manhattan,/photos/interior/3281773487234302570.jpg
4557,2495,2.0,1,800,4,4.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan,/photos/buildings/2486132905538436621.jpg
403,3625,1.0,1,650,43,19.0,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan,/photos/flat_plans/415149730690665051.jpg
899,9000,2.0,2,1250,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan,/photos/flat_plans/1453621385575216237.jpg
4733,5800,2.0,2,1200,2,6.0,75,0,0,0,0,1,1,0,0,Central Park South,Manhattan,/photos/buildings/934263769721474052.jpg
2154,3295,1.0,1,465,5,2.0,29,0,1,0,1,1,0,0,0,West Village,Manhattan,/photos/interior/8236468714523965708.jpg
1348,2200,0.0,1,325,6,24.0,87,0,1,0,1,1,1,0,0,Midtown East,Manhattan,/photos/buildings/8361158869390663621.jpg
10158,5485,2.0,1,1028,7,24.0,39,1,0,1,0,0,1,0,0,Midtown East,Manhattan,/photos/flat_plans/1020052671414457878.jpg
668,2950,0.0,1,765,2,4.0,29,0,1,0,1,1,0,0,1,Upper West Side,Manhattan,/photos/interior/7087800188381229293.jpg
4268,2750,1.0,1,600,9,12.0,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan,/photos/flat_plans/352474722304300591.jpg
10716,8200,2.0,2,1431,9,8.0,7,0,0,0,0,0,0,1,0,Chelsea,Manhattan,/photos/entrance/3.jpg
6366,2000,2.0,1,750,3,1.0,106,0,0,0,1,0,0,1,0,Central Harlem,Manhattan,/photos/buildings/2123814442745245603.jpg
9899,4995,3.0,1,1100,2,2.0,13,0,0,0,1,1,0,0,1,Financial District,Manhattan,/photos/windows/190.jpg
8005,1875,2.0,1,900,3,4.0,91,0,0,0,0,0,0,0,0,Inwood,Manhattan,/photos/windows/433.jpg
8976,3900,1.0,1,750,6,6.0,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan,/photos/windows/258.jpg
3637,2400,0.0,1,500,9,1.0,106,1,0,0,0,0,0,0,0,Upper East Side,Manhattan,/photos/interior/4166165190217074205.jpg
9019,5325,1.0,1,697,2,36.0,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan,/photos/flat_plans/7553038293804328907.jpg
5275,3500,0.0,1,525,5,6.0,105,1,1,1,1,1,0,1,1,Midtown South,Manhattan,/photos/flat_plans/4855643686857305813.jpg
5877,3900,1.0,1,643,4,10.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan,/photos/interior/3288991187330659217.jpg
1694,3375,2.0,1,800,6,2.0,106,0,0,1,0,0,1,0,0,Upper West Side,Manhattan,/photos/interior/1694285479735723352.jpg
7995,6400,2.0,2,1094,3,8.0,9,0,0,0,0,0,0,0,0,Upper East Side,Manhattan,/photos/entrance/376.jpg
11213,12500,2.0,2,2082,2,2.0,101,0,0,0,0,0,1,0,0,Tribeca,Manhattan,/photos/flat_plans/2271174638910912539.jpg
2156,2595,0.0,1,285,5,10.0,86,0,0,0,0,0,0,0,0,Midtown West,Manhattan,/photos/flat_plans/9198023668916871529.jpg
1115,2199,2.0,1,900,11,3.0,106,1,0,0,0,0,0,0,0,East Harlem,Manhattan,/photos/interior/3650722765032280867.jpg
1886,2430,0.0,1,330,2,7.0,89,1,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/windows/1203.jpg
1001,10000,2.0,2,1318,3,15.0,30,0,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/flat_plans/5980654680962880937.jpg
5402,6400,3.0,2,1100,4,3.0,13,0,0,0,0,1,1,0,0,Lower East Side,Manhattan,/photos/flat_plans/5206074530722584399.jpg
3482,5895,2.0,2,1250,1,25.0,112,1,0,0,1,0,0,0,0,Financial District,Manhattan,/photos/entrance/679.jpg
6128,2600,0.0,1,490,3,10.0,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan,/photos/interior/307776913478780340.jpg
3736,4700,1.0,1,500,2,3.0,116,0,0,0,0,0,0,0,0,Soho,Manhattan,/photos/flat_plans/2303032206798876672.jpg
2309,6000,2.0,2,1428,3,15.0,88,0,1,0,1,1,1,1,1,Upper West Side,Manhattan,/photos/entrance/1181.jpg
1148,4995,2.0,1,866,2,5.0,25,0,0,0,1,0,1,0,0,Upper East Side,Manhattan,/photos/flat_plans/2669205071471740847.jpg
8320,3388,0.0,1,825,4,4.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan,/photos/interior/3187384302412067213.jpg
